,src,dst,tx_x,tx_y,rx_x,rx_y,distance,power,mtoa,pl,txloss
58,0,58,3.9284,45.1139,26.4859,9.14984,42.4529,-36.9779,1.49588e-07,61.2797,61.2797
59,0,59,3.9284,45.1139,26.4931,4.64985,46.3303,-36.7286,1.61711e-07,61.0304,61.0304
60,0,60,3.9284,45.1139,30.9284,45.157,27,-44.3752,1.02335e-07,68.677,68.677
61,0,61,3.9284,45.1139,30.9355,40.657,27.3724,-35.6202,1.04186e-07,59.9219,59.9219
62,0,62,3.9284,45.1139,30.9427,36.157,28.4605,-41.7643,1.07397e-07,66.066,66.066
63,0,63,3.9284,45.1139,30.9499,31.657,30.1869,-43.9084,1.13175e-07,68.2101,68.2101
64,0,64,3.9284,45.1139,30.9571,27.157,32.45,-38.5797,1.21919e-07,62.8815,62.8815
65,0,65,3.9284,45.1139,30.9643,22.657,35.1461,-35.8231,1.30845e-07,60.1248,60.1248
66,0,66,3.9284,45.1139,30.9715,18.157,38.1838,-33.0572,1.37587e-07,57.359,57.359
67,0,67,3.9284,45.1139,30.9787,13.657,41.488,-37.4346,1.46941e-07,61.7363,61.7363
68,0,68,3.9284,45.1139,30.9859,9.15703,45,-37.1125,1.58103e-07,61.4143,61.4143
69,0,69,3.9284,45.1139,30.9931,4.65703,48.6749,-35.3041,1.68536e-07,59.6059,59.6059
70,0,70,3.9284,45.1139,35.4284,45.1642,31.5,-43.4642,1.18979e-07,67.766,67.766
71,0,71,3.9284,45.1139,35.4355,40.6642,31.8198,-38.558,1.20646e-07,62.8598,62.8598
72,0,72,3.9284,45.1139,35.4427,36.1642,32.7605,-43.103,1.23231e-07,67.4048,67.4048
73,0,73,3.9284,45.1139,35.4499,31.6642,34.271,-49.7413,1.28253e-07,74.0431,74.0431
74,0,74,3.9284,45.1139,35.4571,27.1642,36.2802,-38.771,1.34486e-07,63.0727,63.0727
75,0,75,3.9284,45.1139,35.4643,22.6642,38.7105,-39.2441,1.4232e-07,63.5459,63.5459
76,0,76,3.9284,45.1139,35.4715,18.1642,41.488,-35.5184,1.48187e-07,59.8202,59.8202
77,0,77,3.9284,45.1139,35.4787,13.6642,44.5477,-36.1193,1.5683e-07,60.4211,60.4211
78,0,78,3.9284,45.1139,35.4859,9.16422,47.8357,-37.6749,1.67316e-07,61.9767,61.9767
79,0,79,3.9284,45.1139,35.493,4.66422,51.3079,-39.1151,1.77485e-07,63.4169,63.4169
80,0,80,3.9284,45.1139,39.9284,45.1714,36,-40.063,1.34569e-07,64.3648,64.3648
81,0,81,3.9284,45.1139,39.9355,40.6714,36.2802,-42.6442,1.3636e-07,66.9459,66.9459
82,0,82,3.9284,45.1139,39.9427,36.1714,37.108,-35.9541,1.38664e-07,60.2559,60.2559
83,0,83,3.9284,45.1139,39.9499,31.6714,38.448,-41.3878,1.41175e-07,65.6896,65.6896
84,0,84,3.9284,45.1139,39.9571,27.1714,40.2492,-38.0919,1.46651e-07,62.3936,62.3936
85,0,85,3.9284,45.1139,39.9643,22.6714,42.4529,-37.4918,1.53343e-07,61.7936,61.7936
86,0,86,3.9284,45.1139,39.9715,18.1714,45,-35.7632,1.5876e-07,60.065,60.065
87,0,87,3.9284,45.1139,39.9787,13.6714,47.8357,-40.4541,1.6692e-07,64.7559,64.7559
88,0,88,3.9284,45.1139,39.9859,9.1714,50.9117,-42.4203,1.76487e-07,66.722,66.722
